Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Toyota 4runner 2016,"US$38,900","132,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2016-1861788
Ford Mustang Gt 2025,"US$56,000","3,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-mustang-gt-2025-1857831
Hyundai H-1 2019,"US$23,000","245,200km",Mecánica,Dual,https://neoauto.com/auto/usado/hyundai-h-1-2019-1862626
Mazda Cx-5 2023,"US$23,200","15,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2023-1846292
Honda Wr-V 2018,"US$11,900","83,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-wr-v-2018-1851281
Subaru Outback 2016,"US$16,500","74,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-outback-2016-1862281
Toyota Highlander 2013,"US$18,000","109,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/toyota-highlander-2013-1861225
Lexus Rx 350 2015,"US$20,500","108,000km",Automática,Gasolina,https://neoauto.com/auto/usado/lexus-rx-350-2015-1862284
Haval All New H6 2022,"US$20,000","31,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/haval-all-new-h6-2022-1861963
Mazda Cx-9 2024,"US$34,900","19,968km",Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-9-2024-1860269
Audi A3 Sedan 2016,"US$17,900","22,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2016-1852527
Bmw 330i 2022,"US$40,900","20,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-330i-2022-1864034
Hyundai Santa Fe 2023,"US$33,900","41,805km",Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2023-1858932
Land Rover Evoque 2015,"US$23,000","62,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/land-rover-evoque-2015-1858201
Jeep Cherokee 2019,"US$19,900","66,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-2019-1863209
Volvo Xc-60 2017,"US$17,500","120,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2017-1863382
Jaguar F-Pace 2017,"US$49,990","9,313km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jaguar-f-pace-2017-1823960
Audi Q5 2018,"US$24,500","83,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q5-2018-1863421
Mercedes Benz Ml 350 2013,"US$23,900","83,494km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-ml-350-2013-1860713
Mercedes Benz Glc 250 4matic 2020,"US$28,500","50,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2020-1861748
Toyota Ae-86 1984,"US$12,500","3,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-ae-86-1984-1859356
Chevrolet Corvette 2026,"US$149,000",,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chevrolet-corvette-2026-1857384
Bmw X2 20i 2019,"US$27,900","40,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x2-20i-2019-1863813
Mini Cooper 2014,"US$13,900","41,090km",Automática,Gasolina,https://neoauto.com/auto/usado/mini-cooper-2014-1863872
Subaru Impreza Wrx 2019,"US$22,000","73,200km",Mecánica,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-wrx-2019-1856558
Volvo S60 2018,"US$21,900","36,036km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2018-1863470
Volvo Xc-60 2023,"US$55,900","15,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2023-1863816
Hyundai Veloster 2014,"US$13,500","163,000km",Mecánica,Gas GLP,https://neoauto.com/auto/usado/hyundai-veloster-2014-1863159
Byd S6 2014,"US$7,800","103,700km",Mecánica,Gasolina,https://neoauto.com/auto/usado/byd-s6-2014-1858281
