Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Chevrolet All New Captiva 2021,"US$18,000","37,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/chevrolet-all-new-captiva-2021-1863154
Mercedes Benz Gle 63 S Amg 4matic Coupe 2017,"US$64,500","69,962km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-63-s-amg-4matic-coupe-2017-1862963
Bmw 520-I 2018,"US$23,500","48,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-520-i-2018-1863406
Bmw X5 35i 2014,"US$20,500","60,500km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2014-1725746
Porsche Macan 2025,"US$79,900","8,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/porsche-macan-2025-1862229
Mercedes Benz Gle 400 4matic 2017,"US$33,900","65,600km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2017-1860973
Ford F-150 2012,"US$21,990","155,000km",Automática,Gasolina,https://neoauto.com/auto/usado/ford-f-150-2012-1838508
Bmw X1 18i 2021,"US$25,990","50,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2021-1856876
Bmw X5 35i 2016,"US$27,500","56,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2016-1858386
Mercedes Benz A-180 2017,"US$15,900","58,344km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a-180-2017-1792651
Honda Odyssey 2012,"US$10,800","166,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-odyssey-2012-1863885
Dodge Durango 2018,"US$30,000","30,050km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/dodge-durango-2018-1862509
Bmw 218i Gran Coupe 2022,"US$26,000","40,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-218i-gran-coupe-2022-1862666
Ford Territory 2025,"US$22,999","2,800km",Automática,Gasolina,https://neoauto.com/auto/usado/ford-territory-2025-1863803
Volkswagen Jetta 2020,"US$16,800","68,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2020-1851916
Mercedes Benz Gle 400 4matic 2018,"US$50,000","50,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2018-1858736
Bmw X4 20i 2025,"US$55,000","17,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2025-1856559
Suzuki Swift 2022,"US$13,100","2,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-swift-2022-1861875
Volkswagen Crossfox 2020,"US$12,900","48,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-crossfox-2020-1863211
Ford Bronco 2024,"US$72,900","4,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-bronco-2024-1861294
Jeep Grand Cherokee Laredo 2018,"US$24,900","48,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2018-1857457
Toyota Yaris 2024,"US$16,950","23,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-yaris-2024-1863290
Bmw 335i 2010,"US$18,900",1km,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-335i-2010-1863273
Kia Sonet 2024,"US$16,800","32,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/kia-sonet-2024-1862196
Mercedes Benz Ml 350 2013,"US$21,800","60,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-ml-350-2013-1850053
Kia Sportage 2018,"US$16,499","94,300km",Mecánica,Gasolina,https://neoauto.com/auto/usado/kia-sportage-2018-1856014
Dodge Durango 2021,"US$38,250","18,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/dodge-durango-2021-1863034
Bmw X5 40i 2022,"US$66,500","18,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x5-40i-2022-1807518
Volkswagen Gol 2021,"US$11,900","59,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-gol-2021-1860204
Bmw X5 M 2015,"US$25,000","74,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-m-2015-1856792
Mazda Cx-5 2025,"US$32,000","21,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2025-1855873
Volkswagen T-Cross 2021,"US$19,900","29,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-t-cross-2021-1859129
Porsche Macan 2024,"US$68,000","26,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/porsche-macan-2024-1859965
Audi Tt 2010,"US$22,000","89,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/audi-tt-2010-1863613
Jeep Grand Cherokee Srt 2021,"US$40,000","63,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-srt-2021-1862387
Toyota Hiace 2015,"US$17,500","172,576km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hiace-2015-1823681
Hyundai I30 2016,"US$14,000","90,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/hyundai-i30-2016-1863369
Volvo S60 2017,"US$14,900","102,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2017-1644797
Subaru All New Forester 2017,"US$16,300","112,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-all-new-forester-2017-1857686
Aston Martin Rapide 2013,"US$73,900","8,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/aston-martin-rapide-2013-1861524
Bmw X5 35i 2018,"US$38,500","75,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2018-1854568
Mg Zx Plus 2023,"US$15,500","35,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/mg-zx-plus-2023-1856853
Mercedes Benz Ml 320 2001,"US$7,200","279,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-ml-320-2001-1858211
Hyundai Venue 2024,"US$17,350","15,500km",Mecánica,Gas GLP,https://neoauto.com/auto/usado/hyundai-venue-2024-1855675
Bmw X1 18i 2024,"US$45,000","13,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2024-1863486
Bmw 120i 2013,"US$15,500","121,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2013-1848627
Jeep Liberty 2003,"US$6,000","224,067km",Automática,Gas GNV,https://neoauto.com/auto/usado/jeep-liberty-2003-1861167
Chevrolet Captiva 2021,"US$14,000","121,842km",Mecánica,Dual,https://neoauto.com/auto/usado/chevrolet-captiva-2021-1861794
Toyota Corolla Cross 2025,"US$29,500","19,800km",Automática,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2025-1859860
Subaru Xv 2018,"US$14,500","149,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1860424
Peugeot 207 2010,"US$5,500","160,000km",Mecánica,Dual,https://neoauto.com/auto/usado/peugeot-207-2010-1856366
Ford Escape Se 2013,"US$15,400","51,000km",Automática,Gasolina,https://neoauto.com/auto/usado/ford-escape-se-2013-1856747
Renault Oroch 2023,"US$13,500","70,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/renault-oroch-2023-1854921
Bmw 120i 2018,"US$19,000","29,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2018-1857273
Honda Cr-V 2019,"US$23,000","62,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2019-1862510
Volkswagen Tiguan Allspace 2019,"US$17,100","68,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2019-1857341
Bmw X3 20i 2019,"US$31,000","42,419km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2019-1859227
Honda Pilot 2017,"US$22,900","60,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2017-1857568
Ram V700 2019,"US$5,800","105,000km",Mecánica,Dual,https://neoauto.com/auto/usado/ram-v700-2019-1835638
Jeep Grand Cherokee Overland 2016,"US$22,500","120,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-overland-2016-1864032
Suzuki Jimny 2023,"US$20,000","21,000km",Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-jimny-2023-1854869
Mazda Cx-30 2024,"US$20,900","20,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-30-2024-1856241
Mercedes Benz Gle 63 S Amg 4matic Coupe 2024,"US$154,000","10,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-63-s-amg-4matic-coupe-2024-1859973
Volkswagen Jetta 2019,"US$13,000","55,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2019-1862444
Suzuki Grand Vitara 2025,"US$19,000","50,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/suzuki-grand-vitara-2025-1855585
Citroen Berlingo 2024,"US$15,000","30,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/citroen-berlingo-2024-1856795
Audi Q3 2023,"US$33,900","29,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q3-2023-1858053
Volkswagen Tiguan Allspace 2020,"US$22,900","53,600km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1857116
Mazda Cx-5 2020,"US$20,000","73,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2020-1861546
Jeep Cherokee Longitude 2016,"US$16,500","42,663km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-longitude-2016-1851741
Volkswagen T-Cross 2020,"US$18,000","35,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-t-cross-2020-1861264
Mercedes Benz C-180 Kompressor 2009,"US$10,000","90,000km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c-180-kompressor-2009-1862549
Audi A3 1.8tfsi Turbo Cabriolet 2014,"US$15,000","72,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-1-8tfsi-turbo-cabriolet-2014-1856710
Jeep Grand Cherokee Laredo 2010,"US$9,500","120,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2010-1859890
Volvo S60 2014,"US$11,500","54,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2014-1849857
Jac Js6 2015,"US$5,000",Automática,Automática,Dual,https://neoauto.com/auto/usado/jac-js6-2015-1860139
Dodge Journey 2018,"US$16,000","72,500km",Automática,Gasolina,https://neoauto.com/auto/usado/dodge-journey-2018-1808067
Volvo S60 2013,"US$12,000","52,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2013-1862625
Suzuki Sx-4 2008,"US$6,350","236,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-sx-4-2008-1856601
Volvo Xc-40 2020,"US$33,500","21,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-xc-40-2020-1779953
Hyundai Creta Grand 2018,"US$16,500","36,000km",Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-creta-grand-2018-1859074
Land Rover Range Rover P530 Autobiography 2020,"US$84,900","18,000km",Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-p530-autobiography-2020-1861320
Toyota Rav4 2023,"US$30,000","56,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-rav4-2023-1863400
Volkswagen Tiguan Allspace 2022,"US$23,500","47,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2022-1858027
Chery New Tiggo 7 2024,"US$15,800","17,924km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chery-new-tiggo-7-2024-1843109
Jeep Wrangler Unlimited Sahara 2007,"US$23,900","52,000km",Mecánica,Dual,https://neoauto.com/auto/usado/jeep-wrangler-unlimited-sahara-2007-1846505
Dfsk Glory 500 2023,"US$12,000","30,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/dfsk-glory-500-2023-1860530
Audi A3 Hb 2021,"US$19,800","44,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-hb-2021-1861573
Mazda Cx-5 2022,"US$21,500","86,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2022-1856838
Subaru Impreza Sport 2014,"US$10,500","95,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2014-913413
Honda Cr-V 2023,"US$34,700","40,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2023-1864022
Bmw M 140i 2019,"US$34,900","33,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-m-140i-2019-1831763
Toyota Tacoma 2025,"US$125,000",,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-tacoma-2025-1861830
Mercedes Benz B180 2012,"US$13,800","69,100km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-b180-2012-1848854
Subaru Xv 2011,"US$8,900","90,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2011-1860632
Mercedes Benz A200 2014,"US$17,000","51,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a200-2014-1859657
Toyota Rav4 2014,"US$14,500","131,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-rav4-2014-1857833
Toyota 4runner 2023,"US$49,900","87,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2023-1861850
Jeep Renegade 2022,"US$21,000","26,500km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-renegade-2022-1862686
Mg Zx 2025,"US$13,000","16,250km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mg-zx-2025-1863020
Toyota Camry 2008,"US$8,171","175,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-camry-2008-1853545
Audi Q5 2014,"US$15,900","126,100km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q5-2014-1848552
Honda Cr-V 2015,"US$15,600","121,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2015-1855818
Audi Q5 2016,"US$19,000","71,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q5-2016-1860681
Ford Territory 2021,"US$20,500","50,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-territory-2021-1846881
Subaru Xv 2022,"US$22,000","28,100km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2022-1857315
Ford Territory 2023,"US$22,000","35,000km",Automática,Gasolina,https://neoauto.com/auto/usado/ford-territory-2023-1861346
Keyton Fj6450 2022,"US$13,000",800km,Automática,Eléctrico,https://neoauto.com/auto/usado/keyton-fj6450-2022-1855889
Audi A4 E 1.8t Multitronic 2015,"US$14,250","52,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a4-e-1-8t-multitronic-2015-1857857
Nissan Qashqai 2016,"US$14,700","43,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2016-1857399
Subaru Impreza Sport 2019,"US$17,800","53,400km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2019-1846403
Honda Civic 2011,"US$9,990","78,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-civic-2011-1856192
Mazda Cx-30 2022,"US$18,500","45,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-cx-30-2022-1860953
Renault Fluence 2018,"US$11,200","59,000km",Automática,Gasolina,https://neoauto.com/auto/usado/renault-fluence-2018-1860525
Mercedes Benz Gle 400 4matic 2017,"US$34,000","51,219km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2017-1851627
Honda Cr-V 2021,"US$26,500","50,350km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2021-1863319
Kia Sportage 2017,"US$17,400","87,772km",Automática,Dual,https://neoauto.com/auto/usado/kia-sportage-2017-1862336
Nissan Qashqai 2015,"US$12,300","200,350km",Mecánica,Gas GNV,https://neoauto.com/auto/usado/nissan-qashqai-2015-1854911
Chevrolet Tahoe 2021,"US$59,990","59,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chevrolet-tahoe-2021-1862303
Bmw X1 2018,"US$20,000","70,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-2018-1859928
Porsche Cayenne S 2016,"US$33,600","67,473km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/porsche-cayenne-s-2016-1861965
Audi Q2 2019,"US$25,000","53,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q2-2019-1863173
Jeep Compass 2020,"US$18,500","54,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2020-1859753
Mazda 3 2026,"US$24,800",40km,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-3-2026-1861845
Bmw 120i 2016,"US$17,900","59,944km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2016-1860383
Jeep Grand Cherokee Limited 2016,"US$18,900","63,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-limited-2016-1861415
Volvo Xc-60 2020,"US$31,600","82,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2020-1851671
Nissan Pathfinder 2005,"US$7,500","350,000km",Automática,Gas GLP,https://neoauto.com/auto/usado/nissan-pathfinder-2005-1775246
Volkswagen Amarok 2021,"US$31,000","66,500km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/volkswagen-amarok-2021-1863968
Mercedes Benz Gl 400 2015,"US$27,500","95,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gl-400-2015-1858176
Mazda All New Mazda 3 2024,"US$18,800","10,150km",Mecánica,Gasolina,https://neoauto.com/auto/usado/mazda-all-new-mazda-3-2024-1821216
Jeep Compass 2024,"US$29,000","16,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2024-1832152
Chevrolet Groove 2024,"US$14,500","19,352km",Mecánica,Dual,https://neoauto.com/auto/usado/chevrolet-groove-2024-1862725
Jac T8 2025,"US$20,500","27,500km",Automática,Diesel,https://neoauto.com/auto/usado/jac-t8-2025-1863376
Volvo Xc-40 2024,"US$44,990","8,600km",Automática,Eléctrico,https://neoauto.com/auto/usado/volvo-xc-40-2024-1850544
Renault Master 2020,"US$25,500","78,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/renault-master-2020-1838505
Bmw X3 2020,"US$36,000","24,500km",Automática - Se...,Gas,https://neoauto.com/auto/usado/bmw-x3-2020-1855865
Volkswagen Tiguan Allspace 2019,"US$17,500","64,000km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2019-1859428
Audi Q5 2012,"US$13,500","110,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q5-2012-1858825
Chevrolet Tracker 2023,"US$15,900","32,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-tracker-2023-1848376
Audi S6 2016,"US$33,500","58,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-s6-2016-1855922
Chery New Tiggo 7 2024,"US$15,500","56,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chery-new-tiggo-7-2024-1863340
Toyota Corolla Cross 2023,"US$22,500","61,000km",Automática,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2023-1863152
Toyota Yaris 2014,"US$12,500","75,146km",Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-yaris-2014-1861721
Toyota Fortuner 2018,"US$31,000","60,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/toyota-fortuner-2018-1856733
Audi A3 Sedan 2017,"US$16,700","45,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2017-1862817
Mazda Bt-50 2023,"US$22,850","70,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/mazda-bt-50-2023-1860919
Dfsk Glory 560 2022,"US$14,000","37,900km",Mecánica,Gasolina,https://neoauto.com/auto/usado/dfsk-glory-560-2022-1861365
Nissan Tiida 2012,"US$8,900","54,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-tiida-2012-1816197
Peugeot 3008 2018,"US$19,000","55,611km",Automática,Gasolina,https://neoauto.com/auto/usado/peugeot-3008-2018-1862761
Kia Sorento 2013,"US$13,900","120,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/kia-sorento-2013-1859248
Suzuki Jimny 2017,"US$12,000","132,803km",Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-jimny-2017-1861792
Nissan Frontier 2024,"US$27,000","65,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/nissan-frontier-2024-1863357
Ford Explorer 2024,"US$50,000","20,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2024-1862987
Kia Sportage 2020,"US$22,000","44,763km",Automática,Gasolina,https://neoauto.com/auto/usado/kia-sportage-2020-1861742
Toyota Land Cruiser 2013,"US$29,900","160,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-land-cruiser-2013-1858058
Volvo 121 1967,"US$7,500","71,195km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volvo-121-1967-1852802
Mitsubishi Montero Sport 2023,"US$33,500","40,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2023-1860403
Audi Q2 2019,"US$26,000","44,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q2-2019-1859143
Volvo Ex30 2025,"US$39,900","6,200km",Automática,Eléctrico,https://neoauto.com/auto/usado/volvo-ex30-2025-1859498
Honda Accord 2010,"US$6,500","68,000km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-accord-2010-1852646
Hyundai Santa Fe 2016,"US$22,000","6,000km",Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2016-1857977
Dongfeng T5 Evo 2022,"US$16,000","48,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/dongfeng-t5-evo-2022-1850397
Plymouth Satellite 1969,"US$8,990","56,702km",Mecánica,Gasolina,https://neoauto.com/auto/usado/plymouth-satellite-1969-1852798
Bmw 118i 2025,"US$31,000","18,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-118i-2025-1858497
Toyota 4runner 2010,"US$35,000","180,000km",Automática,Gasolina,https://neoauto.com/auto/usado/toyota-4runner-2010-1860511
Bmw X4 20i 2025,"US$55,000","4,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2025-1863383
Mitsubishi L200 2022,"US$24,000","5,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/mitsubishi-l200-2022-1852515
Subaru Xv 2018,"US$16,000","67,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-xv-2018-1847383
Toyota Land Cruiser 1980,"US$38,000","160,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-1980-1863048
Toyota Hilux 2013,"US$16,500","128,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/toyota-hilux-2013-1861270
Subaru Forester 2017,"US$18,500","57,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2017-1800805
Jac T6 2022,"US$17,500","22,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/jac-t6-2022-1858395
Subaru Forester Turbo 2015,"US$15,500","111,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-forester-turbo-2015-1860141
Bmw X1 18i 2022,"US$33,500","19,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2022-1856117
Chevrolet Vivant 2007,"US$7,000","245,000km",Mecánica,Gas GNV,https://neoauto.com/auto/usado/chevrolet-vivant-2007-1856065
Volkswagen Gol 2023,"US$11,500","72,000km",Mecánica,Dual,https://neoauto.com/auto/usado/volkswagen-gol-2023-1861871
Bmw 318i 2017,"US$18,990","48,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2017-1716164
Chevrolet Onix 2020,"US$11,000","46,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2020-1862628
Bmw 120i 2017,"US$18,900","47,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2017-1862197
Mercedes Benz B180 2014,"US$13,200","71,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-b180-2014-1863776
Changan Cs35 2017,"US$8,900","87,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/changan-cs35-2017-1858028
Bmw X1 20i 2017,"US$23,900","43,335km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-20i-2017-1863485
Mg Zx 2024,"US$15,000","54,000km",Automática - Se...,Dual,https://neoauto.com/auto/usado/mg-zx-2024-1859023
Volkswagen Tiguan Allspace 2018,"US$18,300","57,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863356
Bmw X1 20i 2017,"US$21,500","57,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x1-20i-2017-1861199
Nissan Versa Drive 2022,"US$10,950","99,500km",Mecánica,Dual,https://neoauto.com/auto/usado/nissan-versa-drive-2022-1855441
Bmw 318i 2017,"US$17,500","62,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-318i-2017-1859168
Volkswagen Tiguan Allspace 2018,"US$16,880","70,500km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863181
Subaru Wrx 2017,"US$17,500","140,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-wrx-2017-1862366
Jac Refine 2023,"US$16,300","47,000km",Mecánica,Dual,https://neoauto.com/auto/usado/jac-refine-2023-1861345
Toyota Hilux 2007,"US$14,900","118,000km",Mecánica,Gas GNV,https://neoauto.com/auto/usado/toyota-hilux-2007-1860609
Volkswagen Jetta 2018,"US$11,000","81,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2018-1862785
Mini Hatch 5dr 2020,"US$25,500","20,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mini-hatch-5dr-2020-1861420
Land Rover Freelander 2013,"US$11,500","124,860km",Automática,Gasolina,https://neoauto.com/auto/usado/land-rover-freelander-2013-1860767
Zotye Z360 2017,"US$6,000","116,000km",Mecánica,Dual,https://neoauto.com/auto/usado/zotye-z360-2017-1863432
Kia Rio 2014,"US$10,000","72,000km",Automática,Dual,https://neoauto.com/auto/usado/kia-rio-2014-1863389
Hyundai Santa Fe 2012,"US$10,500","239,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/hyundai-santa-fe-2012-1863248
Nissan X-Trail 2016,"US$14,500","52,600km",Automática,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2016-1862719
Bmw 114i 2014,"US$12,500","72,400km",Mecánica,Gasolina,https://neoauto.com/auto/usado/bmw-114i-2014-1859160
Hyundai Creta 2023,"US$18,500","63,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/hyundai-creta-2023-1861843
Nissan X-Trail 2018,"US$16,000","88,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2018-1862591
